Grupo de edad,Edad,Total,Hombre,Mujer,Area
30 a 34,Total grupo edad,674,317,357,cabecera
35 a 39,35,142,64,78,cabecera
35 a 39,36,154,73,81,cabecera
35 a 39,37,139,69,70,cabecera
35 a 39,38,163,76,87,cabecera
35 a 39,39,125,51,74,cabecera
35 a 39,Total grupo edad,723,333,390,cabecera
40 a 44,40,130,58,72,cabecera
40 a 44,41,145,65,80,cabecera
40 a 44,42,114,50,64,cabecera
40 a 44,43,123,53,70,cabecera
40 a 44,44,122,57,65,cabecera
40 a 44,Total grupo edad,634,283,351,cabecera
45 a 49,45,130,62,68,cabecera
45 a 49,46,144,66,78,cabecera
45 a 49,47,167,70,97,cabecera
45 a 49,48,154,73,81,cabecera
45 a 49,49,141,50,91,cabecera
45 a 49,Total grupo edad,736,321,415,cabecera
50 a 54,50,137,59,78,cabecera
50 a 54,51,146,80,66,cabecera
50 a 54,52,149,59,90,cabecera
50 a 54,53,144,61,83,cabecera
50 a 54,54,154,66,88,cabecera
50 a 54,Total grupo edad,730,325,405,cabecera
55 a 59,55,154,73,81,cabecera
55 a 59,56,136,60,76,cabecera
55 a 59,57,145,56,89,cabecera
55 a 59,58,133,48,85,cabecera
55 a 59,59,118,50,68,cabecera
55 a 59,Total grupo edad,686,287,399,cabecera
60 a 64,60,122,64,58,cabecera
60 a 64,61,116,46,70,cabecera
60 a 64,62,111,55,56,cabecera
60 a 64,63,100,53,47,cabecera
60 a 64,64,100,51,49,cabecera
60 a 64,Total grupo edad,549,269,280,cabecera
65 a 69,65,112,56,56,cabecera
65 a 69,66,106,50,56,cabecera
65 a 69,67,102,44,58,cabecera
65 a 69,68,97,32,65,cabecera
65 a 69,69,79,41,38,cabecera
65 a 69,Total grupo edad,496,223,273,cabecera
70 a 74,70,68,24,44,cabecera
70 a 74,71,78,35,43,cabecera
70 a 74,72,73,29,44,cabecera
70 a 74,73,81,34,47,cabecera
70 a 74,74,74,36,38,cabecera
70 a 74,Total grupo edad,374,158,216,cabecera
75 a 79,75,75,32,43,cabecera
75 a 79,76,66,20,46,cabecera
75 a 79,77,63,28,35,cabecera
75 a 79,78,68,27,41,cabecera
75 a 79,79,50,23,27,cabecera
75 a 79,Total grupo edad,322,130,192,cabecera
80 a 84,80,37,14,23,cabecera
80 a 84,81,43,17,26,cabecera
80 a 84,82,40,17,23,cabecera
80 a 84,83,34,17,17,cabecera
80 a 84,84,42,20,22,cabecera
80 a 84,Total grupo edad,196,85,111,cabecera
85 a 89,85,28,12,16,cabecera
85 a 89,86,22,11,11,cabecera
85 a 89,87,24,13,11,cabecera
85 a 89,88,17,10,7,cabecera
85 a 89,89,12,7,5,cabecera
85 a 89,Total grupo edad,103,53,50,cabecera
90 a 94,90,17,10,7,cabecera
90 a 94,91,9,3,6,cabecera
90 a 94,92,9,5,4,cabecera
90 a 94,93,4,1,3,cabecera
90 a 94,94,6,1,5,cabecera
90 a 94,Total grupo edad,45,20,25,cabecera
95 a 99,95,2,1,1,cabecera
95 a 99,96,2,0,2,cabecera
95 a 99,97,3,2,1,cabecera
95 a 99,98,1,1,0,cabecera
95 a 99,Total grupo edad,8,4,4,cabecera
100 a 104,101,2,1,1,cabecera
100 a 104,102,1,0,1,cabecera
100 a 104,103,1,0,1,cabecera
100 a 104,Total grupo edad,4,1,3,cabecera
0 a 4,0,0,0,0,centro_poblado
0 a 4,1,0,0,0,centro_poblado
0 a 4,2,0,0,0,centro_poblado
0 a 4,3,0,0,0,centro_poblado
0 a 4,4,0,0,0,centro_poblado
0 a 4,Total grupo edad,0,0,0,centro_poblado
5 a 9,5,0,0,0,centro_poblado
5 a 9,6,0,0,0,centro_poblado
5 a 9,7,0,0,0,centro_poblado
5 a 9,8,0,0,0,centro_poblado
5 a 9,9,0,0,0,centro_poblado
5 a 9,Total grupo edad,0,0,0,centro_poblado
10 a 14,10,0,0,0,centro_poblado
10 a 14,11,0,0,0,centro_poblado
10 a 14,12,0,0,0,centro_poblado
10 a 14,13,0,0,0,centro_poblado
10 a 14,14,0,0,0,centro_poblado
10 a 14,Total grupo edad,0,0,0,centro_poblado
15 a 19,15,0,0,0,centro_poblado
15 a 19,16,0,0,0,centro_poblado
15 a 19,17,0,0,0,centro_poblado
15 a 19,18,0,0,0,centro_poblado
15 a 19,19,0,0,0,centro_poblado
15 a 19,Total grupo edad,0,0,0,centro_poblado
20 a 24,20,0,0,0,centro_poblado
20 a 24,21,0,0,0,centro_poblado
20 a 24,22,0,0,0,centro_poblado
20 a 24,23,0,0,0,centro_poblado
20 a 24,24,0,0,0,centro_poblado
20 a 24,Total grupo edad,0,0,0,centro_poblado
25 a 29,25,0,0,0,centro_poblado
25 a 29,26,0,0,0,centro_poblado
25 a 29,27,0,0,0,centro_poblado
25 a 29,28,0,0,0,centro_poblado
25 a 29,29,0,0,0,centro_poblado
25 a 29,Total grupo edad,0,0,0,centro_poblado
30 a 34,30,0,0,0,centro_poblado
30 a 34,31,0,0,0,centro_poblado
30 a 34,32,0,0,0,centro_poblado
30 a 34,33,0,0,0,centro_poblado
30 a 34,34,0,0,0,centro_poblado
30 a 34,Total grupo edad,0,0,0,centro_poblado
35 a 39,35,0,0,0,centro_poblado
35 a 39,36,0,0,0,centro_poblado
35 a 39,37,0,0,0,centro_poblado
35 a 39,38,0,0,0,centro_poblado
35 a 39,39,0,0,0,centro_poblado
35 a 39,Total grupo edad,0,0,0,centro_poblado
40 a 44,40,0,0,0,centro_poblado
40 a 44,41,0,0,0,centro_poblado
40 a 44,42,0,0,0,centro_poblado
40 a 44,43,0,0,0,centro_poblado
40 a 44,44,0,0,0,centro_poblado
40 a 44,Total grupo edad,0,0,0,centro_poblado
45 a 49,45,0,0,0,centro_poblado
45 a 49,46,0,0,0,centro_poblado
45 a 49,47,0,0,0,centro_poblado
45 a 49,48,0,0,0,centro_poblado
45 a 49,49,0,0,0,centro_poblado
45 a 49,Total grupo edad,0,0,0,centro_poblado
50 a 54,50,0,0,0,centro_poblado
50 a 54,51,0,0,0,centro_poblado
50 a 54,52,0,0,0,centro_poblado
50 a 54,53,0,0,0,centro_poblado
50 a 54,54,0,0,0,centro_poblado
50 a 54,Total grupo edad,0,0,0,centro_poblado
55 a 59,55,0,0,0,centro_poblado
55 a 59,56,0,0,0,centro_poblado
55 a 59,57,0,0,0,centro_poblado
55 a 59,58,0,0,0,centro_poblado
55 a 59,59,0,0,0,centro_poblado
55 a 59,Total grupo edad,0,0,0,centro_poblado
60 a 64,60,0,0,0,centro_poblado
60 a 64,61,0,0,0,centro_poblado
60 a 64,62,0,0,0,centro_poblado
60 a 64,63,0,0,0,centro_poblado
60 a 64,64,0,0,0,centro_poblado
60 a 64,Total grupo edad,0,0,0,centro_poblado
65 a 69,65,0,0,0,centro_poblado
65 a 69,66,0,0,0,centro_poblado
65 a 69,67,0,0,0,centro_poblado
65 a 69,68,0,0,0,centro_poblado
65 a 69,69,0,0,0,centro_poblado
65 a 69,Total grupo edad,0,0,0,centro_poblado
70 a 74,70,0,0,0,centro_poblado
70 a 74,71,0,0,0,centro_poblado
70 a 74,72,0,0,0,centro_poblado
70 a 74,73,0,0,0,centro_poblado
70 a 74,74,0,0,0,centro_poblado
70 a 74,Total grupo edad,0,0,0,centro_poblado
75 a 79,75,0,0,0,centro_poblado
75 a 79,76,0,0,0,centro_poblado
75 a 79,77,0,0,0,centro_poblado
75 a 79,78,0,0,0,centro_poblado
75 a 79,79,0,0,0,centro_poblado
75 a 79,Total grupo edad,0,0,0,centro_poblado
80 a 84,80,0,0,0,centro_poblado
80 a 84,81,0,0,0,centro_poblado
80 a 84,82,0,0,0,centro_poblado
80 a 84,83,0,0,0,centro_poblado
80 a 84,84,0,0,0,centro_poblado
80 a 84,Total grupo edad,0,0,0,centro_poblado
85 a 89,85,0,0,0,centro_poblado
85 a 89,86,0,0,0,centro_poblado
85 a 89,87,0,0,0,centro_poblado
85 a 89,88,0,0,0,centro_poblado
85 a 89,89,0,0,0,centro_poblado
85 a 89,Total grupo edad,0,0,0,centro_poblado
90 a 94,90,0,0,0,centro_poblado
90 a 94,91,0,0,0,centro_poblado
90 a 94,92,0,0,0,centro_poblado
90 a 94,93,0,0,0,centro_poblado
90 a 94,94,0,0,0,centro_poblado
90 a 94,Total grupo edad,0,0,0,centro_poblado
95 a 99,95,0,0,0,centro_poblado
95 a 99,96,0,0,0,centro_poblado
95 a 99,97,0,0,0,centro_poblado
95 a 99,98,0,0,0,centro_poblado
95 a 99,Total grupo edad,0,0,0,centro_poblado
100 a 104,101,0,0,0,centro_poblado
100 a 104,102,0,0,0,centro_poblado
100 a 104,103,0,0,0,centro_poblado
100 a 104,Total grupo edad,0,0,0,centro_poblado
0 a 4,0,24,10,14,rural_disperso
0 a 4,1,19,12,7,rural_disperso
0 a 4,2,16,7,9,rural_disperso
0 a 4,3,16,6,10,rural_disperso
0 a 4,4,22,9,13,rural_disperso
0 a 4,Total grupo edad,97,44,53,rural_disperso
5 a 9,5,23,14,9,rural_disperso
5 a 9,6,19,13,6,rural_disperso
5 a 9,7,24,14,10,rural_disperso
5 a 9,8,20,7,13,rural_disperso
5 a 9,9,36,17,19,rural_disperso
5 a 9,Total grupo edad,122,65,57,rural_disperso
10 a 14,10,36,20,16,rural_disperso
10 a 14,11,27,17,10,rural_disperso
10 a 14,12,21,10,11,rural_disperso
10 a 14,13,35,17,18,rural_disperso
10 a 14,14,43,24,19,rural_disperso
10 a 14,Total grupo edad,162,88,74,rural_disperso
15 a 19,15,36,23,13,rural_disperso
15 a 19,16,32,16,16,rural_disperso
15 a 19,17,44,27,17,rural_disperso
15 a 19,18,44,21,23,rural_disperso
15 a 19,19,31,18,13,rural_disperso
15 a 19,Total grupo edad,187,105,82,rural_disperso
20 a 24,20,28,14,14,rural_disperso
20 a 24,21,25,14,11,rural_disperso
20 a 24,22,22,13,9,rural_disperso
20 a 24,23,24,7,17,rural_disperso
20 a 24,24,24,9,15,rural_disperso
20 a 24,Total grupo edad,123,57,66,rural_disperso
25 a 29,25,24,12,12,rural_disperso
25 a 29,26,20,11,9,rural_disperso
25 a 29,27,25,11,14,rural_disperso
25 a 29,28,15,9,6,rural_disperso
25 a 29,29,23,15,8,rural_disperso
25 a 29,Total grupo edad,107,58,49,rural_disperso
30 a 34,30,27,15,12,rural_disperso
30 a 34,31,24,13,11,rural_disperso
30 a 34,32,15,2,13,rural_disperso
