sexo,grupo_de_edad,si,no,sin_informacion_enfermedad_ultimos_30_dias,sin_informacion_servicio_de_salud_donde_acudieron,a_la_entidad_de_seguridad_social_en_salud_a_la_cual_esta_afliado(a),a_un_medico_particular,"a_un_boticario,farmaceuta,_droguista",a_terapias_alternativas,acudio_a_una_autoridad_indigena_espiritual,otro_medico_de_un_grupo_etnico,uso_remedios_caseros,se_autorreceto,no_hizo_nada,area
Mujeres,15-19 anios,31,421,2,0,25,3,3,0,0,0,0,0,0,cabecera
Mujeres,20-24 anios,25,415,4,0,19,2,1,0,0,0,1,2,0,cabecera
Mujeres,25-29 anios,34,345,4,0,29,1,3,0,0,0,0,1,0,cabecera
Mujeres,30-34 anios,39,317,1,0,29,3,2,0,0,0,2,0,3,cabecera
Mujeres,35-39 anios,40,348,2,0,35,0,3,0,0,0,1,1,0,cabecera
Mujeres,40-44 anios,40,307,4,0,38,1,0,0,0,0,0,0,1,cabecera
Mujeres,45-49 anios,56,358,1,0,46,2,4,0,0,1,0,0,3,cabecera
Mujeres,50-54 anios,57,345,3,0,42,6,5,0,0,0,0,0,4,cabecera
Mujeres,55-59 anios,64,335,0,0,53,1,4,0,0,0,2,2,2,cabecera
Mujeres,60-64 anios,57,222,1,0,47,2,3,0,0,0,2,1,2,cabecera
Mujeres,65-69 anios,50,222,1,0,42,5,0,0,0,0,1,0,2,cabecera
Mujeres,70-74 anios,34,182,0,0,30,0,1,1,0,0,0,1,1,cabecera
Mujeres,75-79 anios,42,150,0,0,41,1,0,0,0,0,0,0,0,cabecera
Mujeres,80-84 anios,30,81,0,0,28,2,0,0,0,0,0,0,0,cabecera
Mujeres,85 anios y mas,22,59,1,0,20,2,0,0,0,0,0,0,0,cabecera
Hombres,0-4 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,5-9 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,10-14 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,15-19 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,20-24 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,25-29 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,30-34 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,35-39 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,40-44 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,45-49 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,50-54 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,55-59 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,60-64 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,65-69 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,70-74 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,75-79 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,80-84 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,85 anios y mas,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,0-4 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,5-9 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,10-14 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,15-19 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,20-24 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,25-29 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,30-34 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,35-39 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,40-44 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,45-49 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,50-54 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,55-59 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,60-64 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,65-69 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,70-74 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,75-79 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,80-84 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,85 anios y mas,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,0-4 anios,3,41,0,0,3,0,0,0,0,0,0,0,0,rural_disperso
Hombres,5-9 anios,4,61,0,0,3,0,1,0,0,0,0,0,0,rural_disperso
Hombres,10-14 anios,1,87,0,0,1,0,0,0,0,0,0,0,0,rural_disperso
Hombres,15-19 anios,5,100,0,0,3,1,0,0,0,0,1,0,0,rural_disperso
Hombres,20-24 anios,4,53,0,0,3,0,0,0,0,0,0,1,0,rural_disperso
Hombres,25-29 anios,12,46,0,0,5,4,1,0,0,0,2,0,0,rural_disperso
Hombres,30-34 anios,1,42,0,0,0,1,0,0,0,0,0,0,0,rural_disperso
Hombres,35-39 anios,3,55,1,0,3,0,0,0,0,0,0,0,0,rural_disperso
Hombres,40-44 anios,7,48,0,0,6,1,0,0,0,0,0,0,0,rural_disperso
Hombres,45-49 anios,12,55,0,0,12,0,0,0,0,0,0,0,0,rural_disperso
Hombres,50-54 anios,5,52,1,0,5,0,0,0,0,0,0,0,0,rural_disperso
Hombres,55-59 anios,7,51,0,0,5,0,1,0,0,0,0,1,0,rural_disperso
Hombres,60-64 anios,8,44,1,0,8,0,0,0,0,0,0,0,0,rural_disperso
Hombres,65-69 anios,7,36,0,0,6,0,1,0,0,0,0,0,0,rural_disperso
Hombres,70-74 anios,6,29,0,0,5,0,1,0,0,0,0,0,0,rural_disperso
Hombres,75-79 anios,5,14,0,0,4,0,1,0,0,0,0,0,0,rural_disperso
Hombres,80-84 anios,2,11,0,0,1,1,0,0,0,0,0,0,0,rural_disperso
Hombres,85 anios y mas,5,4,0,0,4,1,0,0,0,0,0,0,0,rural_disperso
Mujeres,0-4 anios,2,51,0,0,0,0,1,0,0,0,1,0,0,rural_disperso
