sexo,grupo_de_edad,si,no,sin_informacion_enfermedad_ultimos_30_dias,total_personas_que_tuvieron_alguna_enfermedad,sin_informacion_servicio_de_salud_donde_acudieron,a_la_entidad_de_seguridad_social_en_salud_a_la_cual_esta_afliado(a),a_un_medico_particular,"a_un_boticario,farmaceuta,_droguista",a_terapias_alternativas,acudio_a_una_autoridad_indigena_espiritual,otro_medico_de_un_grupo_etnico,uso_remedios_caseros,se_autorreceto,no_hizo_nada,area
Total,40-44 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Total,45-49 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Total,50-54 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Total,55-59 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Total,60-64 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Total,65-69 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Total,70-74 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Total,75-79 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Total,80-84 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Total,85 anios y mas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,0-4 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,5-9 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,10-14 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,15-19 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,20-24 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,25-29 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,30-34 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,35-39 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,40-44 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
