Area,Sexo,Pertenencia etnica,Total,Ninguno,Preescolar,Primaria Completa,Primaria Incompleta,Secundaria Completa,Secundaria Incompleta,Media Completa,Media Incompleta,Normal Completa,Normal Incompleta,Tecnico,Tecnologico,Universitario,Especializacion - Doctorado,Sin Informacion
Total,Hombre,Indigena,74.0,2.0,2.0,10.0,33.0,2.0,13.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Total,Hombre,Gitano(a) o Rrom,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Hombre,Palenquero(a) de San Basilio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Hombre,"Negro(a), Mulato(a), Afrodescendiente, Afrocolombiano(a)",43.0,2.0,1.0,4.0,7.0,4.0,8.0,9.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0
Total,Hombre,Ningun grupo etnico,5410.0,300.0,120.0,817.0,1280.0,188.0,836.0,1217.0,137.0,0.0,9.0,120.0,56.0,252.0,57.0,21.0
Total,Hombre,Sin Informacion ,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0
Total,Hombre,Total,5559.0,304.0,123.0,831.0,1321.0,194.0,857.0,1238.0,139.0,0.0,9.0,122.0,57.0,256.0,57.0,51.0
Total,Mujer,Indigena,81.0,6.0,2.0,16.0,18.0,4.0,8.0,17.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0
Total,Mujer,"Negro(a), Mulato(a), Afrodescendiente, Afrocolombiano(a)",44.0,4.0,0.0,4.0,7.0,2.0,13.0,10.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
Total,Mujer,Ningun grupo etnico,6104.0,262.0,128.0,853.0,1268.0,252.0,899.0,1579.0,157.0,6.0,4.0,235.0,59.0,322.0,63.0,17.0
Total,Mujer,Sin Informacion ,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0
Total,Mujer,Total,6253.0,272.0,130.0,873.0,1293.0,258.0,920.0,1606.0,160.0,6.0,4.0,238.0,60.0,328.0,64.0,41.0
Total,Total,Indigena,155.0,8.0,4.0,26.0,51.0,6.0,21.0,27.0,3.0,0.0,0.0,3.0,2.0,3.0,0.0,1.0
Total,Total,Gitano(a) o Rrom,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Total,Palenquero(a) de San Basilio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Total,"Negro(a), Mulato(a), Afrodescendiente, Afrocolombiano(a)",87.0,6.0,1.0,8.0,14.0,6.0,21.0,19.0,2.0,0.0,0.0,2.0,0.0,5.0,1.0,2.0
Total,Total,Ningun grupo etnico,11514.0,562.0,248.0,1670.0,2548.0,440.0,1735.0,2796.0,294.0,6.0,13.0,355.0,115.0,574.0,120.0,38.0
Total,Total,Sin Informacion ,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,51.0
